File,Zone,DayType,LTE800,GSM900,LTE1800,UMTS2100,LTE2600,NR3500,E_total,Dominant_Band
P089,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.8218,0.394625,0.3712875,0.189758571,0.5208075,0.123313902,1.136395012,LTE800
P090,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.5115,0.34875,0.3117375,0.205855714,0.22002375,0.172020244,0.775123907,LTE800
P091,Sheshi_Mustafa_Qemal_Ataturk,Weekend,1.219433333,0.286925,0.4511875,0.252638571,0.3388875,0.151767561,1.405211069,LTE800
P092,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.848766667,0.6003,0.48375,0.215242857,1.0201375,0.154570488,1.557459807,LTE2600
P093,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.477833333,0.59345,0.2975125,0.199931429,0.3446,0.141050732,0.920672759,GSM900
P094,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.4773,0.21175,0.21985,0.088062857,0.2219175,0.10403,0.623547961,LTE800
P095,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.2324,0.182825,0.156835,0.164464286,0.21112375,0.11884439,0.444722032,LTE800
P096,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.3957,0.377325,0.359525,0.174971429,0.17729375,0.145563415,0.715155685,LTE800
P097,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.463,0.3596,0.15599,0.170184286,0.2066725,0.160790488,0.682307727,LTE800
P098,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.861833333,0.426675,0.199075,0.294305714,0.3607375,0.113197317,1.092703132,LTE800
P099,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.409266667,0.375,0.22585,0.223094286,0.339105,0.112711463,0.732529564,LTE800
P100,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.646866667,0.37505,0.297625,0.364128571,0.3057,0.154266341,0.947375236,LTE800
P101,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.465966667,0.387225,0.3640625,0.4569,0.34717875,0.106616829,0.916661051,LTE800
P102,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.299333333,0.145645,0.121455,0.088735714,0.1355875,0.089808049,0.399859613,LTE800
P103,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.203533333,0.185275,0.15206875,0.081985714,0.1161775,0.082384634,0.354800852,LTE800
P104,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.204433333,0.173225,0.1573475,0.08694,0.103455,0.085799756,0.349544308,LTE800
P105,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.288066667,0.272925,0.22014625,0.095498571,0.233925,0.135554146,0.536796648,LTE800
P106,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.269666667,0.3303,0.31095625,0.187625714,0.1479475,0.102558049,0.588321354,GSM900
P107,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.712266667,0.48615,0.4546875,0.203698571,0.34902375,0.08045439,1.058390261,LTE800
P108,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.321633333,0.25915,0.24008625,0.172484286,0.3036125,0.110982683,0.60207696,LTE800
P109,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.769,0.341875,0.2241,0.142645714,0.1682425,0.100677805,0.904018631,LTE800
P110,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.8069,0.692125,0.28665625,0.411362857,0.28424875,0.104721463,1.213787365,LTE800
P111,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.234666667,0.36575,0.15258125,0.233558571,0.5643,0.140367317,0.777695072,LTE2600
P112,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.801266667,0.4101,0.2737,0.460034286,0.37492875,0.116560732,1.118441544,LTE800
P113,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.3603,0.2598,0.1639825,0.158535714,0.45225,0.105351951,0.681883464,LTE2600
P114,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.625733333,0.385125,0.23665,0.164738571,0.32063875,0.124370976,0.860977838,LTE800
P115,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.504266667,0.460875,0.20707125,0.224728571,0.2325425,0.096246585,0.789564114,LTE800
P116,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.480866667,0.33405,0.3801125,0.222928571,0.4438375,0.114029512,0.864291195,LTE800
P117,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.560433333,0.60285,0.3630875,0.191371429,0.54710625,0.10581122,1.075402466,GSM900
P118,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.760133333,0.3741,0.2521,0.126231429,0.17935625,0.12159439,0.918801468,LTE800
P119,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.569733333,0.201075,0.262525,0.168742857,0.1955875,0.106941707,0.715619838,LTE800
P120,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.216233333,0.17635,0.14210125,0.137585714,0.19044875,0.103472439,0.404914859,LTE800
P121,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.4794,0.280675,0.15098125,0.109894286,0.13825875,0.15055,0.620689691,LTE800
P122,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.284866667,0.2437,0.179345,0.07581,0.1687,0.109723902,0.467920418,LTE800
P123,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.186566667,0.209625,0.14683625,0.211185714,0.215325,0.115343902,0.452304238,LTE2600
P124,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.319866667,0.1948,0.1937625,0.131141429,0.18926875,0.097891707,0.490315359,LTE800
P125,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.270866667,0.322675,0.2008375,0.144828571,0.170615,0.164484634,0.543105511,GSM900
P126,Sheshi_Mustafa_Qemal_Ataturk,Weekend,1.1424,0.752725,0.2911875,0.166164286,0.1820175,0.135825854,1.426762927,LTE800
P127,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.704866667,0.319875,0.218325,0.253427143,0.36467,0.118118537,0.926274448,LTE800
P128,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.676566667,0.3577,0.311,0.1229,0.4141,0.129060488,0.941091161,LTE800
P129,Sheshi_Mustafa_Qemal_Ataturk,Weekend,1.915466667,0.648,0.3263,0.3489,0.3538375,0.135410976,2.112026648,LTE800
P130,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.342766667,0.3261,0.5107875,0.283885714,0.4612125,0.13294122,0.89202887,LTE1800
P131,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.4707,0.366975,0.4439,0.349771429,0.4165375,0.116044146,0.928755154,LTE800
P132,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.754933333,0.358075,0.4035125,0.256375714,0.3406375,0.126120488,1.02889901,LTE800
P133,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.483133333,0.29525,0.283255,0.159142857,0.23967875,0.117191707,0.705216296,LTE800
P134,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.4046,0.673675,0.42726875,0.216751429,0.2630375,0.098900488,0.96231438,GSM900
P135,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.455266667,0.3817,0.354,0.243334286,0.3346375,0.154662439,0.820605221,LTE800
P136,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.889766667,0.5079,0.5423375,0.333715714,1.522275,0.140147805,1.947333011,LTE2600
P137,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.4109,0.499875,0.21192375,0.196414286,0.2341375,0.122085366,0.75626006,GSM900
P138,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.2171,0.286675,0.156235,0.104161429,0.227075,0.097638049,0.475047564,GSM900
P139,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.4127,0.2668,0.1919875,0.088882857,0.14773,0.110367561,0.565922295,LTE800
P140,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.8322,0.719675,0.3222625,0.211854286,0.4294875,0.139338537,1.250239594,LTE800
P141,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.663166667,0.37245,0.268555,0.162142857,0.45576125,0.150276098,0.952482203,LTE800
P142,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.8766,0.413125,0.33895,0.223387143,0.2659875,0.148823659,1.093977411,LTE800
P143,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.757533333,1.071425,0.390325,0.302685714,0.499515,0.111737805,1.492575325,GSM900
P144,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.669933333,0.458125,0.37151875,0.339478571,1.1301375,0.231104146,1.497524946,LTE2600
P145,Sheshi_Mustafa_Qemal_Ataturk,Weekday,1.093933333,0.43995,0.255025,0.4035,0.507925,0.163229756,1.379394034,LTE800
P146,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.6962,0.498375,0.5182375,0.2077,0.58825,0.163403415,1.19059658,LTE800
P147,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.4198,0.26245,0.2991875,0.237607143,0.2784025,0.116202195,0.694329359,LTE800
P148,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.574933333,0.418025,0.4009125,0.232278571,0.4270625,0.136682683,0.9597093,LTE800
P149,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.4275,0.325225,0.2541475,0.201328571,0.2946125,0.153922683,0.71002846,LTE800
P150,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.246366667,0.22115,0.172575,0.128071429,0.168595,0.109335854,0.442907306,LTE800
P151,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.422333333,0.26825,0.2104875,0.147755714,0.34734125,0.13080878,0.673956324,LTE800
P152,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.7263,0.316575,0.191875,0.222067143,0.28505,0.16143122,0.906186953,LTE800
P153,Sheshi_Mustafa_Qemal_Ataturk,Weekday,1.364,0.59,0.3851125,0.220052857,0.3843125,0.160150244,1.605825363,LTE800
P154,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.7952,0.495725,0.4995375,0.199685714,0.428325,0.110216829,1.167522363,LTE800
P155,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.5271,0.344125,0.326125,0.3954,0.3492875,0.153450976,0.896941504,LTE800
P156,Sheshi_Mustafa_Qemal_Ataturk,Weekday,1.420533333,0.803725,0.4677125,0.300871429,0.382525,0.167642195,1.774146755,LTE800
P157,Sheshi_Mustafa_Qemal_Ataturk,Weekday,1.056666667,0.63095,0.6723375,0.520085714,0.716975,0.270839268,1.680647575,LTE800
P158,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.673633333,0.572325,0.4364375,0.324271429,0.6191625,0.17292,1.22075016,LTE800
P159,Sheshi_Mustafa_Qemal_Ataturk,Weekday,1.528,0.5599,0.5062875,0.295257143,0.645,0.203008537,1.857151929,LTE800
P160,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.4172,0.300775,0.2302,0.177962857,0.226925,0.146277073,0.649673916,LTE800
P161,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.3305,0.226675,0.16805,0.118627143,0.18759625,0.121208049,0.502800906,LTE800
P162,Sheshi_Mustafa_Qemal_Ataturk,Weekday,1.793733333,1.00195,0.4517375,0.328214286,0.55975,0.124652195,2.205001744,LTE800
P163,Sheshi_Mustafa_Qemal_Ataturk,Weekday,1.0306,0.47515,0.3401875,0.359414286,0.456475,0.151357073,1.328189909,LTE800
P164,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.916033333,0.6191,0.4329125,0.201351429,0.316975,0.12225878,1.25131046,LTE800
P165,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.620466667,0.37845,0.16355,0.513571429,0.8188,0.17127439,1.232264525,LTE2600
P166,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.852033333,0.3965,0.368475,0.366271429,0.72795,0.170996098,1.308530666,LTE800
P167,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.893166667,0.369575,0.6037375,0.387281429,0.7147125,0.189112683,1.412584799,LTE800
P168,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.250833333,0.2643,0.18426375,0.147762857,0.2792,0.123535122,0.530822389,LTE2600
P169,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.247266667,0.409375,0.2010375,0.181898571,0.18995375,0.138721951,0.597961595,GSM900
P170,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.3233,0.225425,0.2466125,0.155305714,0.2317375,0.12377122,0.556146109,LTE800
P171,Sheshi_Mustafa_Qemal_Ataturk,Weekday,0.3632,0.4542,0.2572625,0.182957143,0.14958125,0.187492439,0.703844553,GSM900
